wind_onshore,pv,load
0.872,0,0.06399452055
0.885,0,0.06023013699
0.893,0,0.05834794521
0.896,0,0.05740684932
0.903,0,0.0592890411
0.704,0,0.06587671233
0.702,0.024,0.06964109589
0.683,0.135,0.07434657534
0.640,0.286,0.07622876712
0.592,0.421,0.07905205479
0.561,0.500,0.08469863014
0.554,0.508,0.08658082192
0.574,0.512,0.08658082192
0.578,0.473,0.08752191781
0.545,0.379,0.08469863014
0.502,0.229,0.08281643836
0.459,0.077,0.08281643836
0.480,0,0.08469863014
0.499,0,0.09881506849
0.506,0,0.1035205479
0.501,0,0.09881506849
0.477,0,0.09222739726
0.464,0,0.07716986301
0.461,0,0.06681780822
0.473,0,0.06399452055
0.494,0,0.06023013699
0.533,0,0.05834794521
0.560,0,0.05740684932
0.578,0,0.0592890411
0.623,0,0.06587671233
0.661,0.034,0.06964109589
0.682,0.188,0.07434657534
0.720,0.333,0.07622876712
0.731,0.420,0.07905205479
0.730,0.477,0.08469863014
0.740,0.473,0.08658082192
0.765,0.434,0.08658082192
0.810,0.372,0.08752191781
0.805,0.301,0.08469863014
0.770,0.183,0.08281643836
0.737,0.066,0.08281643836
0.744,0,0.08469863014
0.749,0,0.09881506849
0.744,0,0.1035205479
0.730,0,0.09881506849
0.710,0,0.09222739726
0.678,0,0.07716986301
0.646,0,0.06681780822
0.639,0,0.06399452055
0.649,0,0.06023013699
0.654,0,0.05834794521
0.652,0,0.05740684932
0.678,0,0.0592890411
0.728,0,0.06587671233
0.760,0.013,0.06964109589
0.721,0.096,0.07434657534
0.651,0.193,0.07622876712
0.636,0.292,0.07905205479
0.631,0.357,0.08469863014
0.625,0.400,0.08658082192
0.632,0.411,0.08658082192
0.653,0.403,0.08752191781
0.670,0.338,0.08469863014
0.630,0.220,0.08281643836
0.599,0.086,0.08281643836
0.618,0.001,0.08469863014
0.644,0,0.09881506849
0.631,0,0.1035205479
0.610,0,0.09881506849
0.597,0,0.09222739726
0.587,0,0.07716986301
0.590,0,0.06681780822
0.592,0,0.06399452055
0.590,0,0.06023013699
0.556,0,0.05834794521
0.493,0,0.05740684932
0.449,0,0.0592890411
0.433,0,0.06587671233
0.427,0.018,0.06964109589
0.420,0.117,0.07434657534
0.422,0.242,0.07622876712
